path,true_type,verdict,anomaly_score,triaged_to_vlm,pred_type,type_correct,stage1_seconds,stage2_seconds,report,confidence,bbox,parse_ok,region_count,decision_policy,vlm_is_defect,vlm_confidence,vlm_disagrees,vlm_error
datasets/MVTecAD/bottle/test/broken_large/006.png,broken_large,defect,0.9740134477615356,False,,,0.3510765999999421,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/007.png,broken_large,defect,0.9830731153488159,False,,,0.3360047000001032,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/008.png,broken_large,defect,0.9917078018188477,False,,,0.27901169999995545,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/009.png,broken_large,defect,1.0,False,,,0.3058068000000276,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/010.png,broken_large,defect,1.0,False,,,0.29253230000040276,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/011.png,broken_large,defect,0.8666844964027405,False,,,0.2816984000000957,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/012.png,broken_large,defect,0.804932713508606,False,,,0.29369649999989633,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/013.png,broken_large,defect,0.9106251001358032,False,,,0.29099400000040987,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/014.png,broken_large,defect,0.9492777585983276,False,,,0.2979560000003403,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/015.png,broken_large,defect,1.0,False,,,0.28317340000012337,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/016.png,broken_large,defect,1.0,False,,,0.30882210000027044,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/017.png,broken_large,defect,1.0,False,,,0.2892123999999967,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/018.png,broken_large,defect,0.910128116607666,False,,,0.2849129000001085,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/019.png,broken_large,defect,0.9599275588989258,False,,,0.3241806999999426,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_large/020.png,broken_large,defect,1.0,False,,,0.3062494999999217,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/006.png,broken_small,defect,0.9310705661773682,False,,,0.32631809999975303,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/007.png,broken_small,defect,0.6682188510894775,False,,,0.2852437000001373,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/008.png,broken_small,defect,0.7331597208976746,False,,,0.3190892999996322,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/009.png,broken_small,defect,1.0,False,,,0.29824980000012147,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/010.png,broken_small,defect,1.0,False,,,0.29531360000009954,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/011.png,broken_small,defect,0.7772664427757263,False,,,0.3130644000002576,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/012.png,broken_small,defect,0.8111242055892944,False,,,0.30719520000002376,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/013.png,broken_small,defect,0.8276275396347046,False,,,0.29652100000021164,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/014.png,broken_small,defect,0.8779653310775757,False,,,0.3005170999999791,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/015.png,broken_small,defect,0.9693506360054016,False,,,0.3131076999998186,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/016.png,broken_small,defect,0.9699927568435669,False,,,0.2931333999999879,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/017.png,broken_small,defect,0.8213622570037842,False,,,0.30430370000021867,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/018.png,broken_small,defect,1.0,False,,,0.289057099999809,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/019.png,broken_small,defect,0.9230993986129761,False,,,0.29843879999998535,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/020.png,broken_small,defect,0.935836672782898,False,,,0.29180799999994633,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/021.png,broken_small,defect,1.0,False,,,0.3201662999999826,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/broken_small/022.png,broken_small,defect,1.0,False,,,0.2752341999998862,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/contamination/006.png,contamination,defect,0.6240811347961426,False,,,0.31375260000004346,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/contamination/007.png,contamination,defect,0.8353321552276611,False,,,0.2963015999998788,0,,,,,0,detector-only,,,False,
datasets/MVTecAD/bottle/test/contamination/008.png,contamination,defect,1.0,False,,,0.29469790000030116,0,,,,,0,detector-only,,,False,
